,addExpiresOrCacheControlHeaders,compressHttp,domainsNumber,dontResizeImageInBrowser,emptySrcTag,externalizeCss,externalizeJs,httpError,httpRequests,jsValidate,maxCookiesLength,minifiedJs,noRedirect,plugins,printStyleSheet,socialNetworkButton,styleSheets,useETags,useStandardTypefaces,viewport,serverResponseTime,mainthreadWorkBreakdown,bootupTime,fontDisplay,thirdPartySummary,thirdPartyFacades,lcpLazyLoaded,longTasks,nonCompositedAnimations,domSize,usesLongCacheTtl,usesResponsiveImages,offscreenImages,unusedCssRules,unusedJavascript,usesOptimizedImages,modernImageFormats,usesTextCompression,usesHttp2,efficientAnimatedContent,legacyJavascript,totalByteWeight,noDocumentWrite,layoutShiftElements,usesPassiveEventListeners
102,0,75,0,20,0,75,100,100,75,50,100,0,100,100,0,100,75,100,100,100,0,10,41,0,0,0,0,0,0,88,17,100,100,58,24,100,100,100,100,100,100,88,100,0,0
103,0,75,75,100,100,100,75,100,100,0,100,100,75,100,0,100,100,0,100,100,100,13,50,0,0,0,0,0,0,95,4,23,100,67,19,88,0,74,74,100,100,42,100,0,100
104,0,65,0,0,100,20,0,100,35,0,100,0,0,100,0,100,65,0,0,100,100,15,99,100,100,0,100,0,0,100,100,0,100,100,100,100,0,100,100,100,100,0,100,0,100
105,100,75,0,100,100,0,0,100,20,0,100,100,0,100,0,100,100,50,0,100,100,99,100,0,100,0,100,0,0,100,100,100,88,100,100,25,11,100,48,100,100,100,100,0,100
106,20,75,0,100,100,0,0,100,20,0,100,0,0,100,0,35,0,0,0,100,100,99,99,100,100,0,0,0,0,100,100,100,100,100,75,100,100,100,100,100,100,100,100,0,100
107,20,65,0,0,100,75,0,100,35,0,100,0,35,100,0,100,35,0,0,100,0,5,51,0,0,0,100,0,0,83,0,0,45,32,0,4,0,3,19,100,86,2,100,0,0
108,0,0,0,0,0,0,0,50,0,0,100,0,100,100,100,20,0,0,0,100,100,87,100,0,0,0,100,0,0,100,6,18,51,73,41,0,0,22,29,100,100,92,100,0,0
109,0,75,20,100,100,20,75,100,75,0,100,100,100,100,0,100,75,0,0,100,100,92,100,0,100,0,100,0,0,100,1,30,100,64,100,22,13,100,32,100,100,100,100,0,0
110,0,75,20,0,100,0,0,100,0,0,100,0,35,100,0,100,0,0,0,0,100,50,51,100,0,0,100,0,0,100,2,100,100,50,18,100,48,6,53,100,100,100,100,0,100
111,0,75,65,0,100,100,20,100,35,0,100,0,75,100,0,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,35,75,65,0,100,0,0,100,20,0,100,0,75,100,0,100,0,0,100,100,100,15,91,0,100,0,100,0,0,14,46,42,100,35,36,0,0,8,14,100,100,14,100,0,0
113,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,20,0,0,100,100,0,0,5,0,0,0,100,0,0,15,0,0,0,27,0,0,0,0,0,100,100,0,100,0,0
114,0,0,100,100,100,100,75,100,100,0,100,0,75,100,0,100,100,0,100,100,0,11,65,0,100,0,100,0,0,46,0,0,76,59,31,0,0,100,0,100,100,0,100,0,0
115,75,0,35,0,100,75,0,100,35,0,100,0,100,100,100,100,35,75,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,50,0,75,0,100,0,0,100,35,0,100,0,100,100,100,100,0,0,0,100,100,50,98,0,100,0,100,0,0,91,4,0,100,100,74,0,0,100,100,100,100,16,100,0,0
117,0,0,35,0,100,50,20,50,35,0,100,0,100,100,0,100,0,0,0,0,0,4,30,0,0,0,0,0,0,83,5,43,100,100,32,43,25,76,49,100,100,99,0,0,0
118,0,65,0,100,100,0,0,100,20,0,100,35,0,100,0,100,35,0,0,100,100,73,97,0,100,0,100,0,0,20,23,100,100,47,48,100,100,100,100,49,100,100,100,0,100
119,0,65,0,0,100,0,0,50,20,0,100,0,0,100,0,100,0,0,0,100,100,18,42,0,0,0,100,0,0,99,11,100,100,100,10,38,0,100,100,100,87,36,100,0,100
120,0,20,0,35,100,75,0,0,35,0,100,0,0,100,0,100,35,0,0,100,100,73,79,0,0,0,100,0,0,100,17,28,100,100,46,100,43,62,100,100,100,100,100,0,100
121,0,75,100,100,100,100,75,100,75,0,100,0,100,100,100,100,35,100,100,0,100,100,100,100,0,0,0,0,0,100,80,100,100,100,100,100,88,100,74,100,100,100,100,0,100
122,75,65,0,20,100,0,0,0,20,0,100,0,0,100,0,35,0,0,0,100,100,66,96,0,100,0,0,0,0,100,1,17,100,58,100,10,0,100,100,100,100,99,0,0,0
123,0,75,0,0,100,0,0,100,0,0,100,0,35,100,0,100,0,50,0,100,100,5,30,100,0,0,100,0,0,0,20,48,67,67,24,100,67,100,100,100,100,96,100,0,0
124,75,75,0,20,100,0,0,50,20,0,100,100,100,100,0,100,0,0,0,100,100,95,97,0,100,0,100,0,0,86,28,100,100,75,42,88,41,100,100,100,88,100,100,0,100
125,0,75,65,20,100,100,50,100,35,0,100,0,75,100,0,100,0,0,0,0,100,100,100,100,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100
126,75,75,0,0,100,0,0,0,35,0,100,0,100,100,0,100,0,50,0,100,0,5,32,0,0,0,0,0,0,2,36,88,41,41,25,100,42,100,100,100,100,94,0,0,100
127,0,75,0,35,100,0,0,100,35,0,100,0,100,100,0,100,20,0,100,100,100,10,26,0,0,0,0,0,0,100,14,100,58,88,31,100,88,100,50,100,100,100,100,0,0
128,0,75,0,35,100,50,0,100,20,0,100,35,0,100,0,100,65,0,0,100,0,2,34,0,0,0,100,0,0,82,3,0,100,16,13,100,0,100,100,100,69,0,100,0,100
129,50,75,0,0,100,50,0,0,20,0,100,0,0,100,0,100,20,0,0,100,100,71,92,0,100,0,100,0,0,90,2,0,100,52,36,81,0,100,100,100,100,0,100,0,100
130,100,75,100,100,100,100,100,100,100,100,100,0,75,100,0,100,100,100,100,100,100,72,97,0,100,0,100,0,0,92,36,100,100,100,47,79,50,79,33,100,100,100,100,0,100
131,75,65,0,0,100,0,0,100,35,0,100,0,75,100,100,100,35,0,0,100,100,71,91,0,0,0,100,0,0,97,57,100,100,100,52,100,99,96,100,100,100,100,100,0,0
